name,full_name,date,participants,url,description
5G-STARDUST,"Satellite and Terrestrial Access for Distributed, Ubiquitous, and Smart Telecommunications",2023,Thales Alenia Space|Hispasat|Orange|Fraunhofer|CTTC,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,Aims to create a fully integrated 5G-NTN system with a self-adapting end-to-end connectivity model.
6Green,Green Technologies for 5/6G Service-Based Architectures,2023,Atos|Ericsson|Telenor|Telefonica|Telecom Italia|Orange Romania,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,Conceives an innovative service-based ecosystem to promote energy efficiency across the 5/6G value-chain.
ACROSS,ACROSS,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,SNS JU Call 1 Research Project
BeGREEN,BeGREEN,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#BeGREEN,SNS JU Call 1 Research Project
NANCY,An Artificial Intelligent Aided Unified Network for Secure Beyond 5G Long Term Evolution,2023,NEC Laboratories|Ericsson|Thales|Netcompany|Eight Bells,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#NANCY,Develops a secure AI-aided unified network for long-term 5G/6G evolution.
SEASON,SEASON,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#SEASON,SNS JU Call 1 Research Project
VERGE,VERGE,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#VERGE,SNS JU Call 1 Research Project
6G-NTN,6G Non-Terrestrial Networks,2023,Eurescom|Thales|ESA|Nokia|Airbus,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-NTN,Focuses on the integration of satellite and terrestrial network components for 6G.
6G-SHINE,6G-SHINE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-SHINE,SNS JU Call 1 Research Project
6GTandem,6GTandem,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6GTandem,SNS JU Call 1 Research Project
ADROIT6G,ADROIT6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ADROIT6G,SNS JU Call 1 Research Project
CENTRIC,CENTRIC,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CENTRIC,SNS JU Call 1 Research Project
CONFIDENTIAL6G,CONFIDENTIAL6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CONFIDENTIAL6G,SNS JU Call 1 Research Project
DETERMINISTIC6G,DETERMINISTIC6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DETERMINISTIC6G,SNS JU Call 1 Research Project
DESIRE6G,DESIRE6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DESIRE6G,SNS JU Call 1 Research Project
ETHER,ETHER,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ETHER,SNS JU Call 1 Research Project
FLEX-SCALE,FLEX-SCALE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#FLEX-SCALE,SNS JU Call 1 Research Project
Hexa-X-II,Hexa-X-II,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HEXA,SNS JU Call 1 Research Project
HORSE,HORSE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HORSE,SNS JU Call 1 Research Project
PREDICT-6G,PREDICT-6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PREDICT-6G,SNS JU Call 1 Research Project
PRIVATEER,PRIVATEER,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PRIVATEER,SNS JU Call 1 Research Project
RIGOUROUS,RIGOUROUS,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#RIGOUROUS,SNS JU Call 1 Research Project
SUPERIOT,SUPERIOT,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#SUPERIOT,SNS JU Call 1 Research Project
TERA6G,TERA6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERA6G,SNS JU Call 1 Research Project
TERRAMETA,TERRAMETA,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERRAMETA,SNS JU Call 1 Research Project
TIMES,TIMES,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TIMES,SNS JU Call 1 Research Project
6G-BRICKS,6G-BRICKS,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-BRICKS,SNS JU Call 1 Research Project
6G-SANDBOX,6G-SANDBOX,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-SANDBOX,SNS JU Call 1 Research Project
6G-XR,6G-XR,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-XR,SNS JU Call 1 Research Project
FIDAL,FIDAL,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#FIDAL,SNS JU Call 1 Research Project
IMAGINE-B5G,IMAGINE-B5G,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#IMAGINE-B5G,SNS JU Call 1 Research Project
TARGET-X,TARGET-X,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TARGET-X,SNS JU Call 1 Research Project
TrialsNet,TrialsNet,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TrialsNet,SNS JU Call 1 Research Project
SNS OPS,SNS OPS,2023,Not listed,https://smart-networks.europa.eu/csa-s/#SNS-OPS,SNS JU Call 1 Research Project
SNS ICE,SNS ICE,2023,Not listed,https://smart-networks.europa.eu/csa-s/#SNS-ICE,SNS JU Call 1 Research Project
6G REFERENCE,6G REFERENCE,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-REFERENCE,SNS JU Call 2 Research Project
6G-CLOUD,6G-CLOUD,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-CLOUD,SNS JU Call 2 Research Project
6G-DISAC,6G-DISAC,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-DISAC,SNS JU Call 2 Research Project
6G-EWOC,6G-EWOC,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-EWOC,SNS JU Call 2 Research Project
6G-GOALS,6G-GOALS,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-GOALS,SNS JU Call 2 Research Project
6G-INTENSE,6G-INTENSE,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-INTENSE,SNS JU Call 2 Research Project
6G-MUSICAL,6G-MUSICAL,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6GMUSICAL,SNS JU Call 2 Research Project
6G-SENSES,6G-SENSES,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-SENSES,SNS JU Call 2 Research Project
6G-TWIN,6G-TWIN,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-TWIN,SNS JU Call 2 Research Project
6G-XCEL,6G-XCEL,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#6G-XCEL,SNS JU Call 2 Research Project
ECO-ENET,ECO-ENET,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#ECO-eNET,SNS JU Call 2 Research Project
ELASTIC,ELASTIC,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#ELASTIC,SNS JU Call 2 Research Project
EXIGENCE,EXIGENCE,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#EXIGENCE,SNS JU Call 2 Research Project
FirstTo6G,FirstTo6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#FirstTo6G,SNS JU Call 2 Research Project
INSTINCT,INSTINCT,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#INSTINCT,SNS JU Call 2 Research Project
ISEE-6G,ISEE-6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#iSEE-6G,SNS JU Call 2 Research Project
ITrust6G,ITrust6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#iTrust6G,SNS JU Call 2 Research Project
NATWORK,NATWORK,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#NATWORK,SNS JU Call 2 Research Project
OPTI-6G,OPTI-6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#OPTI-6G,SNS JU Call 2 Research Project
ORIGAMI,ORIGAMI,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#ORIGAMI,SNS JU Call 2 Research Project
PROTEUS-6G,PROTEUS-6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#PROTEUS-6G,SNS JU Call 2 Research Project
ROBUST-6G,ROBUST-6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#ROBUST-6G,SNS JU Call 2 Research Project
SAFE-6G,SAFE-6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#SAFE-6G,SNS JU Call 2 Research Project
TeraGreen,TeraGreen,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-b/#TeraGreen,SNS JU Call 2 Research Project
SUNRISE-6G,SUNRISE-6G,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-c/#SUNRISE-6G,SNS JU Call 2 Research Project
6G-PATH,6G-PATH,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-d/#6G-PATH,SNS JU Call 2 Research Project
ENVELOPE,ENVELOPE,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-d/#ENVELOPE,SNS JU Call 2 Research Project
6G4Society,6G4Society,2024,Not listed,https://smart-networks.europa.eu/phase-2-stream-csa/#6G4Society,SNS JU Call 2 Research Project
FLECON-6G,FLECON-6G,2025,Not listed,https://smart-networks.europa.eu/call-3-stream-b/#FLECON-6G,SNS JU Call 3 Research Project
UNITY-6G,UNITY-6G,2025,Not listed,https://smart-networks.europa.eu/call-3-stream-b/#UNITY-6G,SNS JU Call 3 Research Project
6G-LEADER,6G-LEADER,2025,Not listed,https://smart-networks.europa.eu/call-3-stream-b/#6G-LEADER,SNS JU Call 3 Research Project
MultiX,MultiX,2025,Not listed,https://smart-networks.europa.eu/call-3-stream-b/#MultiX,SNS JU Call 3 Research Project
AMAZING-6G,AMAZING-6G,2025,Not listed,https://smart-networks.europa.eu/call-3-stream-b/#AMAZING-6G,SNS JU Call 3 Research Project
NexaSphere,NexaSphere,2025,Not listed,https://smart-networks.europa.eu/call-3-stream-b/#NexaSphere,SNS JU Call 3 Research Project
