name,full_name,date,participants,url,description
About us,About us,2023,Not listed,#,SNS JU Call 1 Research Project
SNS JU Results & Tools,SNS JU Results & Tools,2023,Not listed,#,SNS JU Call 1 Research Project
SNS Journals,SNS Journals,2023,Not listed,#,SNS JU Call 1 Research Project
About us,About us,2023,Not listed,#,SNS JU Call 1 Research Project
SNS JU Results & Tools,SNS JU Results & Tools,2023,Not listed,#,SNS JU Call 1 Research Project
SNS Journals,SNS Journals,2023,Not listed,#,SNS JU Call 1 Research Project
Stream A,Stream A,2023,Not listed,#1665132852227-ac67b625-5211,SNS JU Call 1 Research Project
Stream A,Stream A,2023,Not listed,#1665132852227-ac67b625-5211,SNS JU Call 1 Research Project
5G-STARDUST,"Satellite and Terrestrial Access for Distributed, Ubiquitous, and Smart Telecommunications",2023,Thales Alenia Space|Hispasat|Orange|Fraunhofer|CTTC,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,Aims to create a fully integrated 5G-NTN system with a self-adapting end-to-end connectivity model.
6Green,Green Technologies for 5/6G Service-Based Architectures,2023,Atos|Ericsson|Telenor|Telefonica|Telecom Italia|Orange Romania,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,Conceives an innovative service-based ecosystem to promote energy efficiency across the 5/6G value-chain.
ACROSS,ACROSS,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,SNS JU Call 1 Research Project
BeGREEN,BeGREEN,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#BeGREEN,SNS JU Call 1 Research Project
NANCY,An Artificial Intelligent Aided Unified Network for Secure Beyond 5G Long Term Evolution,2023,NEC Laboratories|Ericsson|Thales|Netcompany|Eight Bells,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#NANCY,Develops a secure AI-aided unified network for long-term 5G/6G evolution.
SEASON,SEASON,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#SEASON,SNS JU Call 1 Research Project
VERGE,VERGE,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#VERGE,SNS JU Call 1 Research Project
Stream B,Stream B,2023,Not listed,#1665133110426-d5e0e0d6-48bd,SNS JU Call 1 Research Project
Stream B,Stream B,2023,Not listed,#1665133110426-d5e0e0d6-48bd,SNS JU Call 1 Research Project
6G-NTN,6G-NTN,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-NTN,SNS JU Call 1 Research Project
6G-SHINE,6G-SHINE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-SHINE,SNS JU Call 1 Research Project
6GTandem,6GTandem,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6GTandem,SNS JU Call 1 Research Project
ADROIT6G,ADROIT6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ADROIT6G,SNS JU Call 1 Research Project
CENTRIC,CENTRIC,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CENTRIC,SNS JU Call 1 Research Project
CONFIDENTIAL6G,CONFIDENTIAL6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CONFIDENTIAL6G,SNS JU Call 1 Research Project
DETERMINISTIC6G,DETERMINISTIC6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DETERMINISTIC6G,SNS JU Call 1 Research Project
DESIRE6G,DESIRE6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DESIRE6G,SNS JU Call 1 Research Project
ETHER,ETHER,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ETHER,SNS JU Call 1 Research Project
FLEX-SCALE,FLEX-SCALE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#FLEX-SCALE,SNS JU Call 1 Research Project
Hexa-X-II,Hexa-X-II,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HEXA,SNS JU Call 1 Research Project
HORSE,HORSE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HORSE,SNS JU Call 1 Research Project
PREDICT-6G,PREDICT-6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PREDICT-6G,SNS JU Call 1 Research Project
PRIVATEER,PRIVATEER,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PRIVATEER,SNS JU Call 1 Research Project
RIGOUROUS,RIGOUROUS,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#RIGOUROUS,SNS JU Call 1 Research Project
SUPERIOT,SUPERIOT,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#SUPERIOT,SNS JU Call 1 Research Project
TERA6G,TERA6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERA6G,SNS JU Call 1 Research Project
TERRAMETA,TERRAMETA,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERRAMETA,SNS JU Call 1 Research Project
TIMES,TIMES,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TIMES,SNS JU Call 1 Research Project
Stream C,Stream C,2023,Not listed,#1665133109297-f32bc31c-02d5,SNS JU Call 1 Research Project
Stream C,Stream C,2023,Not listed,#1665133109297-f32bc31c-02d5,SNS JU Call 1 Research Project
6G-BRICKS,6G-BRICKS,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-BRICKS,SNS JU Call 1 Research Project
6G-SANDBOX,6G-SANDBOX,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-SANDBOX,SNS JU Call 1 Research Project
