name,tech_area,date,url,description
5G-STARDUST,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,"The 7 projects under this stream (,6Green,ACROSS,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered include"
6Green,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,"The 7 projects under this stream (5G-STARDUST,,ACROSS,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
ACROSS,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,"The 7 projects under this stream (5G-STARDUST,6Green,,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
BeGREEN,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#BeGREEN,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered inc"
NANCY,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#NANCY,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered i"
SEASON,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#SEASON,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,NANCY,,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
VERGE,"Smart communication components, systems and networks for 5G mid-term Evolution systems",2023,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#VERGE,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,NANCY,SEASON,) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered i"
6G-NTN,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-NTN,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDIC"
6G-SHINE,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-SHINE,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT-"
6GTandem,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6GTandem,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT-"
ADROIT6G,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ADROIT6G,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT-"
CENTRIC,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CENTRIC,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT"
CONFIDENTIAL6G,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CONFIDENTIAL6G,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,,DETERMINISTIC6G,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT-6G,PRI"
DETERMINISTIC6G,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DETERMINISTIC6G,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,,DESIRE6G,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT-6G,PRIV"
DESIRE6G,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DESIRE6G,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,,ETHER,FLEX-SCALE,Hexa-X-II,HORSE,PREDICT-"
ETHER,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ETHER,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,,FLEX-SCALE,Hexa-X-II,HORSE,PREDI"
FLEX-SCALE,Research for revolutionary technology advancement towards 6G,2023,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#FLEX-SCALE,"The focus is on novel technologies that are expected to be adopted in commercial networks in a mid and/or long-term time period. Research topics considered in the 19 retained projects (6G-NTN,6G-SHINE,6GTandem,ADROIT6G,CENTRIC,CONFIDENTIAL6G,DETERMINISTIC6G,DESIRE6G,ETHER,,Hexa-X-II,HORSE,PREDICT-6G"
