name,full_name,date,participants,url,description
5G-STARDUST,5G-STARDUST,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,"The 7 projects under this stream (,6Green,ACROSS,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered include"
6Green,6Green,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,"The 7 projects under this stream (5G-STARDUST,,ACROSS,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
ACROSS,ACROSS,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,"The 7 projects under this stream (5G-STARDUST,6Green,,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
BeGREEN,BeGREEN,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#BeGREEN,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered inc"
NANCY,NANCY,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#NANCY,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered i"
SEASON,SEASON,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#SEASON,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,NANCY,,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
VERGE,VERGE,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#VERGE,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,NANCY,SEASON,) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered i"
6G-NTN,6G-NTN,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-NTN,
6G-SHINE,6G-SHINE,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-SHINE,
6GTandem,6GTandem,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6GTandem,
ADROIT6G,ADROIT6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ADROIT6G,
