name,full_name,date,participants,url,description
5G-STARDUST,5G-STARDUST,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,SNS JU Call 1 Research Project
6Green,6Green,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,SNS JU Call 1 Research Project
ACROSS,ACROSS,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,SNS JU Call 1 Research Project
BeGREEN,BeGREEN,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#BeGREEN,SNS JU Call 1 Research Project
NANCY,NANCY,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#NANCY,SNS JU Call 1 Research Project
SEASON,SEASON,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#SEASON,SNS JU Call 1 Research Project
VERGE,VERGE,2023,Not listed,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#VERGE,SNS JU Call 1 Research Project
6G-NTN,6G-NTN,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-NTN,SNS JU Call 1 Research Project
6G-SHINE,6G-SHINE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-SHINE,SNS JU Call 1 Research Project
6GTandem,6GTandem,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6GTandem,SNS JU Call 1 Research Project
ADROIT6G,ADROIT6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ADROIT6G,SNS JU Call 1 Research Project
CENTRIC,CENTRIC,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CENTRIC,SNS JU Call 1 Research Project
CONFIDENTIAL6G,CONFIDENTIAL6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CONFIDENTIAL6G,SNS JU Call 1 Research Project
DETERMINISTIC6G,DETERMINISTIC6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DETERMINISTIC6G,SNS JU Call 1 Research Project
DESIRE6G,DESIRE6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DESIRE6G,SNS JU Call 1 Research Project
ETHER,ETHER,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ETHER,SNS JU Call 1 Research Project
FLEX-SCALE,FLEX-SCALE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#FLEX-SCALE,SNS JU Call 1 Research Project
Hexa-X-II,Hexa-X-II,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HEXA,SNS JU Call 1 Research Project
HORSE,HORSE,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HORSE,SNS JU Call 1 Research Project
PREDICT-6G,PREDICT-6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PREDICT-6G,SNS JU Call 1 Research Project
PRIVATEER,PRIVATEER,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PRIVATEER,SNS JU Call 1 Research Project
RIGOUROUS,RIGOUROUS,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#RIGOUROUS,SNS JU Call 1 Research Project
SUPERIOT,SUPERIOT,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#SUPERIOT,SNS JU Call 1 Research Project
TERA6G,TERA6G,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERA6G,SNS JU Call 1 Research Project
TERRAMETA,TERRAMETA,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERRAMETA,SNS JU Call 1 Research Project
TIMES,TIMES,2023,Not listed,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TIMES,SNS JU Call 1 Research Project
6G-BRICKS,6G-BRICKS,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-BRICKS,SNS JU Call 1 Research Project
6G-SANDBOX,6G-SANDBOX,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-SANDBOX,SNS JU Call 1 Research Project
6G-XR,6G-XR,2023,Not listed,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-XR,SNS JU Call 1 Research Project
FIDAL,FIDAL,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#FIDAL,SNS JU Call 1 Research Project
IMAGINE-B5G,IMAGINE-B5G,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#IMAGINE-B5G,SNS JU Call 1 Research Project
TARGET-X,TARGET-X,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TARGET-X,SNS JU Call 1 Research Project
TrialsNet,TrialsNet,2023,Not listed,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TrialsNet,SNS JU Call 1 Research Project
SNS OPS,SNS OPS,2023,Not listed,https://smart-networks.europa.eu/csa-s/#SNS-OPS,SNS JU Call 1 Research Project
SNS ICE,SNS ICE,2023,Not listed,https://smart-networks.europa.eu/csa-s/#SNS-ICE,SNS JU Call 1 Research Project
